user,mean_login_hour,mean_logout_hour,files_per_day,usb_per_day,emails_per_day,out_of_session_access
user1,8.033333333333333,15.933333333333334,3.9285714285714284,1.0,2.5,79
user2,8.2,16.7,3.7333333333333334,1.0,2.769230769230769,74
user3,7.933333333333334,15.9,4.233333333333333,1.0,2.6785714285714284,96
user4,7.933333333333334,16.133333333333333,3.6551724137931036,1.0,3.2142857142857144,77
user5,8.166666666666666,15.733333333333333,4.0344827586206895,1.25,2.4827586206896552,83
user6,8.133333333333333,16.433333333333334,3.4,1.0,2.0,63
user7,8.1,16.166666666666668,3.4,1.125,2.5384615384615383,63
user8,7.633333333333334,15.633333333333333,3.413793103448276,1.125,2.6551724137931036,60
user9,8.3,16.3,3.25,1.1,2.586206896551724,54
user10,7.933333333333334,15.633333333333333,3.933333333333333,1.0,3.185185185185185,80
user11,7.966666666666667,16.233333333333334,3.9655172413793105,1.0,2.793103448275862,82
user12,7.666666666666667,16.0,3.1333333333333333,1.0,2.5652173913043477,64
user13,8.0,16.1,4.535714285714286,1.5,2.8214285714285716,88
user14,7.966666666666667,15.833333333333334,3.7857142857142856,1.0,2.6666666666666665,65
user15,8.3,16.266666666666666,3.392857142857143,1.1111111111111112,2.1904761904761907,63
user16,8.433333333333334,16.566666666666666,4.296296296296297,1.0,2.769230769230769,77
user17,7.633333333333334,15.466666666666667,3.7666666666666666,1.0,2.6785714285714284,72
user18,8.4,16.733333333333334,4.466666666666667,1.1111111111111112,2.3333333333333335,85
user19,7.833333333333333,15.966666666666667,4.25,1.2,2.107142857142857,82
user20,7.866666666666666,15.933333333333334,4.033333333333333,1.5,2.12,71
