user,file,access_time
user5,file_23.docx,2023-01-01 09:41:00
user13,file_9.docx,2023-01-01 19:45:00
user3,file_20.docx,2023-01-01 17:24:00
user11,file_9.docx,2023-01-01 21:44:00
user17,file_6.docx,2023-01-01 20:42:00
user14,file_33.docx,2023-01-01 11:01:00
user12,file_20.docx,2023-01-01 05:13:00
user11,file_50.docx,2023-01-01 15:12:00
user8,file_9.docx,2023-01-01 04:04:00
user10,file_7.docx,2023-01-01 16:49:00
user18,file_48.docx,2023-01-01 16:02:00
user11,file_50.docx,2023-01-01 19:08:00
user20,file_25.docx,2023-01-01 04:10:00
user6,file_45.docx,2023-01-01 19:51:00
user6,file_47.docx,2023-01-01 14:02:00
user14,file_24.docx,2023-01-01 21:46:00
user8,file_29.docx,2023-01-01 19:18:00
user15,file_15.docx,2023-01-01 17:15:00
user10,file_31.docx,2023-01-01 06:23:00
user19,file_29.docx,2023-01-01 14:49:00
user10,file_50.docx,2023-01-01 12:32:00
user17,file_27.docx,2023-01-01 05:52:00
user7,file_39.docx,2023-01-01 04:55:00
user9,file_4.docx,2023-01-01 20:30:00
user12,file_36.docx,2023-01-01 03:45:00
user17,file_8.docx,2023-01-01 09:05:00
user6,file_18.docx,2023-01-01 14:57:00
user17,file_10.docx,2023-01-01 13:05:00
user8,file_29.docx,2023-01-01 11:59:00
user1,file_27.docx,2023-01-01 01:25:00
user17,file_24.docx,2023-01-01 07:24:00
user3,file_24.docx,2023-01-01 07:01:00
user11,file_7.docx,2023-01-01 22:41:00
user11,file_10.docx,2023-01-01 04:02:00
user10,file_31.docx,2023-01-01 22:53:00
user5,file_49.docx,2023-01-01 22:30:00
user15,file_40.docx,2023-01-01 00:57:00
user3,file_2.docx,2023-01-01 08:13:00
user5,file_36.docx,2023-01-01 23:38:00
user17,file_28.docx,2023-01-01 03:49:00
user10,file_16.docx,2023-01-01 09:07:00
user2,file_16.docx,2023-01-01 13:40:00
user20,file_30.docx,2023-01-01 02:07:00
user16,file_39.docx,2023-01-01 17:01:00
user17,file_37.docx,2023-01-01 07:45:00
user5,file_19.docx,2023-01-01 13:00:00
user20,file_23.docx,2023-01-01 07:36:00
user14,file_12.docx,2023-01-01 21:42:00
user3,file_34.docx,2023-01-01 11:04:00
user17,file_35.docx,2023-01-01 16:50:00
user17,file_36.docx,2023-01-01 00:24:00
user16,file_3.docx,2023-01-01 20:24:00
user12,file_17.docx,2023-01-01 23:01:00
user12,file_5.docx,2023-01-01 11:15:00
user4,file_50.docx,2023-01-01 18:47:00
user11,file_9.docx,2023-01-01 01:22:00
user18,file_22.docx,2023-01-01 20:11:00
user15,file_45.docx,2023-01-01 15:40:00
user6,file_9.docx,2023-01-01 02:45:00
user15,file_3.docx,2023-01-01 09:12:00
user2,file_13.docx,2023-01-01 01:20:00
user10,file_33.docx,2023-01-01 12:52:00
user18,file_31.docx,2023-01-01 08:02:00
user7,file_19.docx,2023-01-01 11:55:00
user2,file_42.docx,2023-01-01 10:17:00
user4,file_24.docx,2023-01-01 13:56:00
user13,file_48.docx,2023-01-01 14:57:00
user13,file_22.docx,2023-01-01 05:31:00
user16,file_24.docx,2023-01-01 16:17:00
user3,file_47.docx,2023-01-01 13:05:00
user14,file_39.docx,2023-01-01 05:34:00
user10,file_21.docx,2023-01-01 03:05:00
user11,file_43.docx,2023-01-01 09:19:00
user15,file_39.docx,2023-01-01 22:27:00
user6,file_45.docx,2023-01-01 14:22:00
user15,file_3.docx,2023-01-01 23:55:00
user12,file_40.docx,2023-01-01 13:17:00
user2,file_5.docx,2023-01-01 21:40:00
user13,file_24.docx,2023-01-01 16:51:00
user6,file_2.docx,2023-01-01 04:54:00
user20,file_44.docx,2023-01-01 14:02:00
user5,file_5.docx,2023-01-01 07:49:00
user12,file_24.docx,2023-01-01 12:36:00
user2,file_39.docx,2023-01-01 04:43:00
user15,file_24.docx,2023-01-01 11:28:00
user3,file_37.docx,2023-01-01 04:33:00
user12,file_26.docx,2023-01-01 10:41:00
user8,file_8.docx,2023-01-02 00:47:00
user6,file_32.docx,2023-01-02 16:24:00
user18,file_8.docx,2023-01-02 08:49:00
user9,file_46.docx,2023-01-02 14:13:00
user20,file_19.docx,2023-01-02 22:58:00
user16,file_13.docx,2023-01-02 03:08:00
user3,file_29.docx,2023-01-02 05:57:00
user15,file_6.docx,2023-01-02 21:54:00
user11,file_43.docx,2023-01-02 11:45:00
user3,file_36.docx,2023-01-02 17:18:00
user10,file_11.docx,2023-01-02 22:45:00
user6,file_24.docx,2023-01-02 16:14:00
user4,file_13.docx,2023-01-02 04:15:00
user16,file_2.docx,2023-01-02 11:35:00
user19,file_24.docx,2023-01-02 14:51:00
user18,file_9.docx,2023-01-02 19:56:00
user3,file_5.docx,2023-01-02 09:25:00
user16,file_34.docx,2023-01-02 13:49:00
user14,file_37.docx,2023-01-02 02:08:00
user11,file_42.docx,2023-01-02 02:28:00
user15,file_44.docx,2023-01-02 16:22:00
user5,file_50.docx,2023-01-02 17:40:00
user19,file_12.docx,2023-01-02 04:27:00
user17,file_4.docx,2023-01-02 03:33:00
user5,file_20.docx,2023-01-02 05:10:00
user11,file_46.docx,2023-01-02 07:22:00
user17,file_19.docx,2023-01-02 02:16:00
user7,file_41.docx,2023-01-02 17:17:00
user5,file_41.docx,2023-01-02 09:39:00
user18,file_6.docx,2023-01-02 16:41:00
user6,file_38.docx,2023-01-02 18:09:00
user6,file_43.docx,2023-01-02 19:46:00
user20,file_22.docx,2023-01-02 18:02:00
user1,file_6.docx,2023-01-02 01:41:00
user19,file_17.docx,2023-01-02 20:13:00
user19,file_27.docx,2023-01-02 19:40:00
user1,file_32.docx,2023-01-02 20:34:00
user10,file_42.docx,2023-01-02 09:30:00
user8,file_44.docx,2023-01-02 12:19:00
user15,file_5.docx,2023-01-02 22:03:00
user6,file_29.docx,2023-01-02 13:30:00
user15,file_14.docx,2023-01-02 10:38:00
user5,file_21.docx,2023-01-02 22:20:00
user12,file_26.docx,2023-01-02 04:48:00
user12,file_33.docx,2023-01-02 17:06:00
user11,file_16.docx,2023-01-02 14:07:00
user9,file_29.docx,2023-01-02 07:09:00
user4,file_4.docx,2023-01-02 09:24:00
user20,file_27.docx,2023-01-02 07:55:00
user6,file_21.docx,2023-01-02 18:46:00
user11,file_13.docx,2023-01-02 05:31:00
user17,file_30.docx,2023-01-02 15:56:00
user10,file_32.docx,2023-01-02 00:05:00
user13,file_33.docx,2023-01-02 14:15:00
user7,file_38.docx,2023-01-02 11:03:00
user2,file_19.docx,2023-01-02 15:38:00
