user,login,logout
user1,2023-01-01 06:01:00,2023-01-01 14:01:00
user2,2023-01-01 07:14:00,2023-01-01 14:14:00
user3,2023-01-01 06:43:00,2023-01-01 16:43:00
user4,2023-01-01 06:37:00,2023-01-01 15:37:00
user5,2023-01-01 06:01:00,2023-01-01 12:01:00
user6,2023-01-01 07:14:00,2023-01-01 17:14:00
user7,2023-01-01 10:01:00,2023-01-01 20:01:00
user8,2023-01-01 07:45:00,2023-01-01 17:45:00
user9,2023-01-01 09:14:00,2023-01-01 18:14:00
user10,2023-01-01 10:17:00,2023-01-01 16:17:00
user11,2023-01-01 07:44:00,2023-01-01 16:44:00
user12,2023-01-01 08:17:00,2023-01-01 15:17:00
user13,2023-01-01 07:48:00,2023-01-01 15:48:00
user14,2023-01-01 06:05:00,2023-01-01 15:05:00
user15,2023-01-01 06:22:00,2023-01-01 14:22:00
user16,2023-01-01 10:16:00,2023-01-01 16:16:00
user17,2023-01-01 09:34:00,2023-01-01 15:34:00
user18,2023-01-01 09:05:00,2023-01-01 19:05:00
user19,2023-01-01 08:53:00,2023-01-01 18:53:00
user20,2023-01-01 08:36:00,2023-01-01 15:36:00
user1,2023-01-02 06:02:00,2023-01-02 13:02:00
user2,2023-01-02 08:05:00,2023-01-02 15:05:00
user3,2023-01-02 06:24:00,2023-01-02 14:24:00
user4,2023-01-02 09:40:00,2023-01-02 17:40:00
user5,2023-01-02 07:23:00,2023-01-02 15:23:00
user6,2023-01-02 07:42:00,2023-01-02 15:42:00
user7,2023-01-02 06:38:00,2023-01-02 13:38:00
user8,2023-01-02 10:46:00,2023-01-02 17:46:00
user9,2023-01-02 07:29:00,2023-01-02 16:29:00
user10,2023-01-02 08:59:00,2023-01-02 18:59:00
user11,2023-01-02 07:43:00,2023-01-02 15:43:00
user12,2023-01-02 06:14:00,2023-01-02 12:14:00
user13,2023-01-02 08:25:00,2023-01-02 16:25:00
user14,2023-01-02 06:13:00,2023-01-02 16:13:00
user15,2023-01-02 08:13:00,2023-01-02 17:13:00
user16,2023-01-02 09:56:00,2023-01-02 18:56:00
user17,2023-01-02 07:16:00,2023-01-02 14:16:00
user18,2023-01-02 07:47:00,2023-01-02 17:47:00
user19,2023-01-02 10:16:00,2023-01-02 20:16:00
user20,2023-01-02 09:57:00,2023-01-02 19:57:00
user1,2023-01-03 09:23:00,2023-01-03 16:23:00
user2,2023-01-03 07:32:00,2023-01-03 16:32:00
user3,2023-01-03 06:48:00,2023-01-03 12:48:00
user4,2023-01-03 06:09:00,2023-01-03 13:09:00
user5,2023-01-03 09:38:00,2023-01-03 15:38:00
user6,2023-01-03 09:24:00,2023-01-03 19:24:00
user7,2023-01-03 09:33:00,2023-01-03 17:33:00
user8,2023-01-03 10:55:00,2023-01-03 16:55:00
user9,2023-01-03 06:43:00,2023-01-03 16:43:00
user10,2023-01-03 08:49:00,2023-01-03 16:49:00
user11,2023-01-03 06:18:00,2023-01-03 15:18:00
user12,2023-01-03 07:29:00,2023-01-03 13:29:00
user13,2023-01-03 08:32:00,2023-01-03 15:32:00
user14,2023-01-03 10:58:00,2023-01-03 16:58:00
user15,2023-01-03 08:53:00,2023-01-03 18:53:00
user16,2023-01-03 10:12:00,2023-01-03 17:12:00
user17,2023-01-03 08:48:00,2023-01-03 15:48:00
user18,2023-01-03 10:49:00,2023-01-03 20:49:00
user19,2023-01-03 06:38:00,2023-01-03 14:38:00
user20,2023-01-03 09:01:00,2023-01-03 15:01:00
user1,2023-01-04 08:56:00,2023-01-04 16:56:00
user2,2023-01-04 07:03:00,2023-01-04 14:03:00
user3,2023-01-04 10:05:00,2023-01-04 16:05:00
user4,2023-01-04 09:52:00,2023-01-04 15:52:00
user5,2023-01-04 10:49:00,2023-01-04 17:49:00
user6,2023-01-04 07:42:00,2023-01-04 16:42:00
user7,2023-01-04 10:10:00,2023-01-04 18:10:00
user8,2023-01-04 10:55:00,2023-01-04 20:55:00
user9,2023-01-04 09:13:00,2023-01-04 19:13:00
user10,2023-01-04 07:45:00,2023-01-04 15:45:00
user11,2023-01-04 09:42:00,2023-01-04 17:42:00
user12,2023-01-04 09:57:00,2023-01-04 19:57:00
user13,2023-01-04 09:07:00,2023-01-04 16:07:00
user14,2023-01-04 07:04:00,2023-01-04 15:04:00
user15,2023-01-04 06:37:00,2023-01-04 16:37:00
user16,2023-01-04 07:37:00,2023-01-04 14:37:00
user17,2023-01-04 06:04:00,2023-01-04 12:04:00
user18,2023-01-04 07:04:00,2023-01-04 13:04:00
user19,2023-01-04 08:04:00,2023-01-04 18:04:00
user20,2023-01-04 07:17:00,2023-01-04 16:17:00
user1,2023-01-05 07:34:00,2023-01-05 14:34:00
user2,2023-01-05 10:36:00,2023-01-05 19:36:00
user3,2023-01-05 07:50:00,2023-01-05 16:50:00
user4,2023-01-05 09:12:00,2023-01-05 15:12:00
user5,2023-01-05 06:42:00,2023-01-05 15:42:00
user6,2023-01-05 08:27:00,2023-01-05 17:27:00
user7,2023-01-05 09:55:00,2023-01-05 15:55:00
user8,2023-01-05 06:03:00,2023-01-05 15:03:00
user9,2023-01-05 08:51:00,2023-01-05 14:51:00
user10,2023-01-05 07:12:00,2023-01-05 14:12:00
user11,2023-01-05 10:28:00,2023-01-05 17:28:00
user12,2023-01-05 09:11:00,2023-01-05 17:11:00
user13,2023-01-05 09:15:00,2023-01-05 15:15:00
user14,2023-01-05 09:51:00,2023-01-05 19:51:00
user15,2023-01-05 06:03:00,2023-01-05 16:03:00
user16,2023-01-05 06:05:00,2023-01-05 13:05:00
user17,2023-01-05 07:26:00,2023-01-05 16:26:00
user18,2023-01-05 09:13:00,2023-01-05 18:13:00
user19,2023-01-05 06:10:00,2023-01-05 15:10:00
user20,2023-01-05 06:24:00,2023-01-05 14:24:00
user1,2023-01-06 09:18:00,2023-01-06 18:18:00
user2,2023-01-06 10:42:00,2023-01-06 19:42:00
user3,2023-01-06 07:12:00,2023-01-06 15:12:00
user4,2023-01-06 07:03:00,2023-01-06 17:03:00
user5,2023-01-06 10:03:00,2023-01-06 18:03:00
user6,2023-01-06 06:03:00,2023-01-06 16:03:00
user7,2023-01-06 09:32:00,2023-01-06 19:32:00
user8,2023-01-06 07:03:00,2023-01-06 17:03:00
user9,2023-01-06 06:54:00,2023-01-06 13:54:00
user10,2023-01-06 06:38:00,2023-01-06 12:38:00
user11,2023-01-06 07:25:00,2023-01-06 13:25:00
user12,2023-01-06 10:15:00,2023-01-06 20:15:00
user13,2023-01-06 10:02:00,2023-01-06 20:02:00
user14,2023-01-06 06:26:00,2023-01-06 16:26:00
user15,2023-01-06 10:33:00,2023-01-06 18:33:00
user16,2023-01-06 08:13:00,2023-01-06 16:13:00
user17,2023-01-06 07:16:00,2023-01-06 16:16:00
user18,2023-01-06 07:42:00,2023-01-06 15:42:00
user19,2023-01-06 09:20:00,2023-01-06 15:20:00
user20,2023-01-06 06:29:00,2023-01-06 16:29:00
user1,2023-01-07 10:06:00,2023-01-07 16:06:00
user2,2023-01-07 10:13:00,2023-01-07 20:13:00
user3,2023-01-07 08:08:00,2023-01-07 16:08:00
user4,2023-01-07 06:56:00,2023-01-07 13:56:00
user5,2023-01-07 08:18:00,2023-01-07 15:18:00
user6,2023-01-07 09:53:00,2023-01-07 19:53:00
user7,2023-01-07 08:39:00,2023-01-07 18:39:00
user8,2023-01-07 06:42:00,2023-01-07 16:42:00
user9,2023-01-07 08:59:00,2023-01-07 14:59:00
user10,2023-01-07 07:16:00,2023-01-07 13:16:00
user11,2023-01-07 06:47:00,2023-01-07 16:47:00
user12,2023-01-07 07:17:00,2023-01-07 15:17:00
user13,2023-01-07 10:13:00,2023-01-07 18:13:00
user14,2023-01-07 07:43:00,2023-01-07 15:43:00
user15,2023-01-07 10:31:00,2023-01-07 18:31:00
user16,2023-01-07 06:05:00,2023-01-07 15:05:00
user17,2023-01-07 08:02:00,2023-01-07 14:02:00
user18,2023-01-07 08:49:00,2023-01-07 15:49:00
user19,2023-01-07 08:10:00,2023-01-07 17:10:00
user20,2023-01-07 10:45:00,2023-01-07 19:45:00
user1,2023-01-08 10:00:00,2023-01-08 16:00:00
user2,2023-01-08 06:56:00,2023-01-08 13:56:00
user3,2023-01-08 10:02:00,2023-01-08 18:02:00
user4,2023-01-08 10:35:00,2023-01-08 17:35:00
user5,2023-01-08 09:08:00,2023-01-08 15:08:00
user6,2023-01-08 08:23:00,2023-01-08 14:23:00
