user,device,plug_time,unplug_time
user9,usb_5,2023-01-01 17:43:00,2023-01-01 18:00:00
user8,usb_5,2023-01-01 18:50:00,2023-01-01 19:11:00
user19,usb_4,2023-01-02 15:05:00,2023-01-02 16:58:00
user17,usb_2,2023-01-02 10:23:00,2023-01-02 11:37:00
user6,usb_2,2023-01-02 16:27:00,2023-01-02 17:43:00
user15,usb_1,2023-01-02 08:52:00,2023-01-02 09:56:00
user20,usb_3,2023-01-03 18:10:00,2023-01-03 18:15:00
user2,usb_4,2023-01-03 12:38:00,2023-01-03 13:15:00
user13,usb_3,2023-01-03 18:13:00,2023-01-03 19:32:00
user17,usb_3,2023-01-03 08:10:00,2023-01-03 09:49:00
user18,usb_5,2023-01-03 09:19:00,2023-01-03 09:35:00
user13,usb_1,2023-01-03 10:46:00,2023-01-03 12:02:00
user9,usb_4,2023-01-03 11:39:00,2023-01-03 12:48:00
user11,usb_3,2023-01-03 18:16:00,2023-01-03 19:57:00
user15,usb_3,2023-01-04 11:42:00,2023-01-04 12:28:00
user11,usb_2,2023-01-04 15:38:00,2023-01-04 16:25:00
user1,usb_2,2023-01-04 18:59:00,2023-01-04 19:04:00
user20,usb_4,2023-01-04 08:57:00,2023-01-04 09:03:00
user6,usb_4,2023-01-04 16:57:00,2023-01-04 18:31:00
user16,usb_4,2023-01-04 16:05:00,2023-01-04 17:50:00
user3,usb_5,2023-01-04 08:57:00,2023-01-04 10:48:00
user15,usb_1,2023-01-05 13:52:00,2023-01-05 14:45:00
user20,usb_3,2023-01-05 14:11:00,2023-01-05 16:03:00
user1,usb_1,2023-01-05 15:23:00,2023-01-05 15:52:00
user15,usb_1,2023-01-05 11:47:00,2023-01-05 11:54:00
user9,usb_3,2023-01-05 11:05:00,2023-01-05 12:54:00
user20,usb_3,2023-01-05 11:14:00,2023-01-05 12:22:00
user12,usb_1,2023-01-05 12:31:00,2023-01-05 14:31:00
user20,usb_2,2023-01-05 08:12:00,2023-01-05 10:02:00
user13,usb_1,2023-01-06 12:36:00,2023-01-06 13:45:00
